2025-12-21 21:52:34 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: 00651257-80e0-42d6-8c47-73a445d4d097
2025-12-21 21:52:34 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching pot investments for User UUID: 00651257-80e0-42d6-8c47-73a445d4d097
2025-12-21 21:52:34 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching Main Wallet for User UUID: 00651257-80e0-42d6-8c47-73a445d4d097
2025-12-21 22:02:31 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: ed95b757-aa42-4b61-850f-e54cc9941644
2025-12-21 22:02:31 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching pot investments for User UUID: ed95b757-aa42-4b61-850f-e54cc9941644
2025-12-21 22:02:31 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching Main Wallet for User UUID: ed95b757-aa42-4b61-850f-e54cc9941644
2025-12-21 22:04:41 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: 03311226-b33c-4819-8656-6c695a5384a1
2025-12-21 22:04:41 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching pot investments for User UUID: 03311226-b33c-4819-8656-6c695a5384a1
2025-12-21 22:04:41 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching Main Wallet for User UUID: 03311226-b33c-4819-8656-6c695a5384a1
2025-12-21 22:21:47 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching investment details for User UUID: a722b2ba-8a00-49df-9d2e-667090099860
2025-12-21 22:21:47 [main] INFO  com.bxb.sunduk_pay.factories.InvestmentFactory.FetchInvestmentDetails - Fetching pot investments for User UUID: a722b2ba-8a00-49df-9d2e-667090099860
